                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                 1.7787,                 1.1568,                0.91129,                0.34626,                0.65101,                0.42002,                 1.3851,                 2.1705,                 1.2141,             0.00065863,             0.00065863,             0.00065863
                      2,                 1.2632,                 1.2356,                 1.1239,                0.80294,                0.61049,                0.69926,                0.47012,                 1.2533,                 1.5562,                 1.1606,              0.0012991,              0.0012991,              0.0012991
                      3,                  1.206,                 1.0971,                 1.0741,                 0.8259,                 0.8015,                0.84938,                0.54695,                 1.2344,                 1.1044,                 1.1507,              0.0019131,              0.0019131,              0.0019131
                      4,                 1.1803,                 1.0551,                 1.0743,                0.87359,                 0.7603,                0.83516,                0.58432,                 1.1864,                 1.0697,                  1.091,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1528,                0.97994,                 1.0483,                0.87425,                0.81648,                0.87669,                0.59268,                 1.1408,                0.96978,                  1.104,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1432,                0.97634,                 1.0456,                0.86366,                0.79775,                0.86502,                0.56881,                 1.2151,                  1.005,                 1.1036,               0.001802,               0.001802,               0.001802
                      7,                 1.1066,                0.94111,                 1.0527,                0.91404,                0.79651,                0.88997,                0.62541,                 1.1155,                0.88228,                 1.0929,              0.0017624,              0.0017624,              0.0017624
                      8,                   1.07,                0.85093,                   1.02,                0.88613,                0.81648,                0.87702,                0.60695,                 1.1176,                0.85512,                 1.1066,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0744,                0.84283,                 1.0399,                0.88578,                0.81648,                0.88812,                0.64669,                0.98647,                0.81904,                 1.0309,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0344,                0.85457,                 1.0176,                0.88213,                0.80524,                0.87721,                0.62112,                 1.1338,                0.87028,                  1.139,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.014,                0.79047,                 1.0155,                0.87783,                0.85019,                0.90597,                  0.658,                 1.0159,                0.81186,                 1.0362,               0.001604,               0.001604,               0.001604
                     12,                 1.0101,                0.77881,                 1.0049,                0.87232,                0.84445,                0.90918,                0.65751,                 1.0221,                0.82368,                 1.0634,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0035,                 0.7453,                 0.9983,                0.86204,                0.86142,                  0.908,                0.65317,                 1.0215,                0.77906,                 1.0525,              0.0015248,              0.0015248,              0.0015248
                     14,                0.94591,                0.73388,                 0.9978,                0.88062,                0.84644,                0.90833,                0.66242,                 1.0048,                0.74385,                 1.0524,              0.0014852,              0.0014852,              0.0014852
