                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5955,                 2.8114,                 2.3931,                0.27736,                0.32959,                0.19632,                0.12347,                 3.0172,                 4.0555,                 2.8739,             0.00065863,             0.00065863,             0.00065863
                      2,                 2.7464,                 2.2944,                 2.5398,                0.27736,                0.32959,                0.19632,                0.12347,                 8.8786,                 13.362,                 8.2723,              0.0012991,              0.0012991,              0.0012991
                      3,                 2.8941,                 2.2449,                 2.5652,                0.74112,                0.60674,                0.66436,                0.36645,                 3.3755,                 2.8626,                 3.3521,              0.0019131,              0.0019131,              0.0019131
                      4,                 3.0442,                 2.1773,                 2.7106,                0.56385,                0.53933,                0.55928,                0.32339,                 3.3867,                 4.8468,                 3.1482,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8599,                 2.0886,                 2.4819,                0.73648,                0.52337,                 0.6335,                0.40122,                 2.7504,                 2.6746,                 2.7497,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6345,                 2.0336,                 2.3983,                 0.7295,                0.66667,                0.74606,                0.43481,                 3.1393,                 3.4865,                 2.9113,               0.001802,               0.001802,               0.001802
                      7,                 2.6167,                 1.9735,                 2.4197,                0.69491,                0.74157,                0.75966,                0.51093,                 2.3807,                 2.3274,                  2.401,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.4078,                 1.6524,                 2.2408,                 0.8066,                0.77903,                0.85413,                0.55851,                 2.5321,                  1.816,                 2.5181,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2986,                 1.6026,                 2.2563,                0.84008,                0.79026,                0.86789,                 0.6061,                 2.3809,                  1.582,                 2.4081,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.4042,                 1.7007,                 2.2646,                0.76931,                0.78686,                0.83482,                 0.5995,                 2.2639,                 1.6898,                 2.3465,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2443,                 1.4478,                 2.2059,                0.80242,                0.81648,                0.88263,                0.61648,                 2.2951,                 1.4766,                 2.4268,               0.001604,               0.001604,               0.001604
                     12,                 2.2208,                 1.4249,                 2.1865,                0.79527,                0.78563,                0.85431,                0.59068,                 2.5467,                 1.7785,                 2.5428,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1816,                 1.3828,                 2.1458,                 0.8471,                0.80925,                0.89203,                0.62724,                  2.385,                 1.4736,                 2.4461,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.1123,                 1.3743,                 2.1711,                0.84485,                0.83146,                0.88827,                0.62423,                 2.2229,                 1.4492,                 2.3473,              0.0014852,              0.0014852,              0.0014852
                     15,                  2.083,                 1.2708,                 2.0927,                0.86236,                0.86826,                0.90624,                0.66249,                 2.1672,                 1.4326,                 2.3311,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0484,                 1.3267,                 2.1191,                0.90128,                0.73408,                0.85291,                 0.6054,                 2.3765,                 1.8155,                 2.4298,               0.001406,               0.001406,               0.001406
                     17,                 2.0125,                 1.2766,                  2.096,                0.82841,                0.86142,                0.89956,                0.67594,                 2.0461,                 1.3374,                 2.2829,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.8607,                 1.1674,                 2.0142,                0.89213,                0.86728,                 0.9107,                0.68087,                 2.0679,                 1.3195,                  2.236,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9133,                 1.1951,                 2.0379,                0.87227,                0.85019,                0.90583,                0.67673,                 2.0999,                 1.3559,                 2.3255,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8639,                 1.1103,                 1.9817,                0.87009,                0.80269,                0.89101,                0.69038,                  2.007,                 1.3774,                 2.2533,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8853,                 1.1523,                 2.0225,                0.89635,                 0.8427,                0.91695,                0.69373,                 2.0446,                  1.334,                 2.2453,               0.001208,               0.001208,               0.001208
                     22,                 1.8597,                 1.1453,                 2.0082,                0.81776,                0.87266,                 0.9054,                0.68841,                 1.9932,                 1.3109,                 2.1686,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7927,                 1.0966,                 1.9829,                0.86903,                 0.8427,                0.89973,                0.70163,                 1.9248,                 1.3711,                 2.1697,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7518,                  1.058,                 1.9695,                0.85734,                0.85532,                0.91223,                0.69839,                 1.9365,                 1.3129,                 2.2173,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.7001,                 1.0403,                 1.9515,                0.86875,                0.84644,                0.90768,                 0.6883,                 1.9456,                 1.1977,                  2.214,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.7066,                 1.0654,                 1.9642,                0.83787,                0.89037,                0.91414,                0.70323,                 1.8668,                 1.2091,                 2.2081,                0.00101,                0.00101,                0.00101
                     27,                 1.6871,                 1.0391,                 1.9399,                0.85167,                0.88171,                0.92062,                0.71171,                 1.9132,                 1.2032,                 2.1548,              0.0009704,              0.0009704,              0.0009704
                     28,                   1.72,                 1.0505,                 1.9713,                 0.8413,                0.88764,                0.91898,                0.70472,                 1.8893,                 1.1935,                 2.1697,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6405,                0.99238,                 1.9198,                0.84945,                0.86142,                0.91433,                0.72736,                 1.8626,                 1.1819,                 2.1671,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5893,                0.97261,                 1.9184,                0.82854,                0.89513,                 0.9286,                0.73005,                 1.8591,                 1.1119,                 2.1316,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5617,                0.93946,                 1.8866,                0.84847,                0.90179,                0.92783,                0.72615,                 1.8035,                 1.1188,                 2.1343,               0.000812,               0.000812,               0.000812
                     32,                 1.5291,                0.91865,                 1.8922,                0.88759,                0.87266,                 0.9227,                0.73417,                 1.7898,                 1.1088,                 2.1177,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5114,                0.90495,                  1.862,                0.84946,                0.90637,                 0.9314,                0.71699,                  1.881,                 1.1313,                 2.1637,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5106,                0.88057,                 1.8935,                0.83306,                0.91578,                0.92763,                0.72412,                 1.8358,                 1.1409,                  2.152,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4909,                0.86788,                 1.8714,                0.87001,                0.87736,                0.91514,                0.72346,                 1.8134,                  1.137,                 2.1381,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4862,                0.94156,                 1.8438,                0.86024,                 0.8764,                0.92169,                0.73503,                 1.7404,                 1.1604,                 2.1188,               0.000614,               0.000614,               0.000614
                     37,                 1.4583,                0.84753,                 1.8639,                0.86689,                0.89139,                0.92187,                0.73606,                 1.7882,                  1.166,                 2.1437,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4146,                0.82697,                 1.8345,                0.89469,                 0.8591,                0.93306,                0.74268,                 1.7858,                 1.0954,                 2.1359,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3435,                0.80183,                 1.8307,                0.86776,                0.88764,                0.92782,                0.74929,                 1.7108,                 1.1093,                  2.097,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.406,                0.84352,                 1.8401,                 0.8962,                0.87312,                0.92848,                0.74401,                 1.7136,                 1.0822,                 2.0858,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1519,                0.69892,                 1.7374,                0.88035,                0.85426,                0.92225,                0.74444,                  1.701,                 1.1702,                 2.0996,               0.000416,               0.000416,               0.000416
                     42,                 1.1232,                0.66443,                 1.7299,                0.87967,                0.90262,                0.92192,                0.73888,                 1.7246,                 1.1625,                 2.1261,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1258,                0.67305,                 1.7318,                 0.8877,                0.89513,                0.92372,                0.74122,                 1.7274,                 1.1308,                  2.109,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1169,                0.65708,                 1.7349,                 0.8759,                0.86142,                0.91661,                0.74238,                 1.6549,                 1.1616,                 2.0903,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1052,                0.64141,                  1.727,                0.87313,                 0.8839,                0.92071,                0.74264,                 1.6448,                 1.1012,                 2.0758,              0.0002576,              0.0002576,              0.0002576
