                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6186,                 3.5115,                 2.3436,                0.76954,                0.58801,                0.64288,                0.33089,                  3.034,                 15.548,                 3.1409,             0.00065079,             0.00065079,             0.00065079
                      2,                 2.7501,                 2.2106,                 2.4413,                0.32992,                0.32959,                0.23503,                0.11301,                 4.0126,                 7.1216,                 4.2934,              0.0012914,              0.0012914,              0.0012914
                      3,                 3.2903,                 2.7811,                 2.7588,                0.32992,                0.32959,                0.23503,                0.11301,                    nan,                    nan,                    nan,              0.0019056,              0.0019056,              0.0019056
                      4,                 3.1274,                 2.5786,                 2.5843,                 0.2118,                0.51311,                0.16447,                0.06959,                 3.8526,                 28.481,                 4.7504,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.0045,                 2.3026,                 2.5269,                0.68875,                0.65169,                0.71844,                0.44922,                 2.8126,                 4.1495,                 2.7081,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.7364,                 1.9891,                 2.3751,                0.70601,                 0.6367,                0.71247,                0.46189,                 2.7849,                 3.8449,                  2.777,               0.001802,               0.001802,               0.001802
                      7,                  2.595,                  1.919,                 2.3771,                0.74982,                0.70037,                0.73764,                0.45367,                 2.9068,                 2.4495,                 2.7773,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.5095,                 1.6817,                 2.3013,                0.83658,                0.79775,                0.85668,                0.58789,                 2.3872,                 1.8552,                 2.4955,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.3876,                 1.5843,                 2.2469,                 0.8447,                0.82022,                0.86235,                0.61029,                 2.3323,                 1.5948,                 2.4058,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.3572,                 1.5043,                 2.2238,                0.86766,                0.78652,                0.86694,                 0.6066,                 2.1746,                 1.5601,                 2.3626,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2866,                 1.5258,                 2.1582,                0.83946,                0.66667,                0.79487,                0.51817,                 2.6763,                 1.8339,                 2.4994,               0.001604,               0.001604,               0.001604
                     12,                 2.2835,                 1.4486,                 2.1424,                0.84303,                0.73783,                0.84637,                0.58082,                 2.2236,                 1.7464,                 2.3204,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1699,                 1.3712,                 2.0956,                0.84729,                0.83521,                0.88879,                0.64817,                 2.1341,                 1.3541,                 2.3344,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0937,                 1.3174,                 2.0899,                 0.7565,                0.75281,                0.81367,                0.58723,                 2.0613,                 1.9299,                 2.2684,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0014,                 1.2635,                 2.0343,                 0.8701,                0.80524,                0.88133,                0.66185,                 2.0254,                 1.3147,                 2.1976,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9551,                   1.23,                 2.0277,                 0.8981,                0.80524,                0.89162,                0.67548,                 1.9506,                 1.1558,                 2.2008,               0.001406,               0.001406,               0.001406
                     17,                 1.9002,                 1.2118,                 2.0039,                0.85246,                0.81648,                0.89209,                0.67365,                 1.9309,                 1.2156,                 2.1777,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.8653,                  1.187,                 1.9911,                0.82462,                0.89888,                0.90855,                0.68152,                 1.9074,                 1.2796,                 2.1656,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8755,                 1.1634,                 2.0006,                0.86433,                0.86142,                0.91906,                0.69049,                 1.8973,                 1.2198,                 2.2197,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7946,                 1.1425,                 1.9586,                0.88861,                0.86517,                0.92099,                0.70259,                 1.8788,                 1.1639,                 2.1742,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8874,                 1.1418,                 1.9774,                0.88865,                0.83693,                0.90928,                0.66878,                 2.0338,                 1.2473,                 2.2306,               0.001208,               0.001208,               0.001208
