                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6373,                 3.4066,                 2.2676,                0.30759,                0.21463,                0.13698,                0.09291,                 2.8264,                 9.7689,                 3.1539,             0.00065079,             0.00065079,             0.00065079
                      2,                  2.731,                 2.2787,                 2.4024,                0.00219,                0.07865,                0.00118,                0.00063,                 4.8478,                    inf,                  5.857,              0.0012914,              0.0012914,              0.0012914
                      3,                 2.8988,                 2.3274,                 2.4386,                0.22163,                0.47566,                0.18035,                0.09155,                 3.6214,                 19.826,                 3.5795,              0.0019056,              0.0019056,              0.0019056
                      4,                 2.8489,                 2.1133,                  2.447,                0.22163,                0.47566,                0.18035,                0.09155,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7876,                 1.8775,                 2.4001,                 0.2679,                0.19101,                0.14991,                 0.0688,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6333,                 1.7754,                 2.3033,                0.77388,                0.62808,                0.72632,                0.48905,                 2.4989,                  2.911,                 2.5262,               0.001802,               0.001802,               0.001802
                      7,                 2.4744,                 1.7583,                 2.2685,                0.76176,                0.62921,                0.72242,                0.49143,                  2.411,                  2.609,                 2.3972,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.3563,                 1.6219,                 2.1984,                0.86575,                0.77288,                0.86569,                0.58977,                 2.4039,                 1.7552,                 2.3599,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.3143,                 1.5442,                 2.1787,                0.83591,                0.75281,                0.81155,                0.55019,                 2.5105,                 1.8517,                 2.4286,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.3516,                 1.5322,                 2.1805,                0.77231,                0.64791,                 0.7469,                0.50402,                 2.4268,                 2.6292,                  2.407,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.3656,                 1.5945,                 2.1574,                0.81025,                 0.8316,                0.85272,                 0.5821,                 2.2612,                 1.5512,                 2.3517,               0.001604,               0.001604,               0.001604
                     12,                 2.1799,                 1.4259,                 2.1072,                0.84668,                0.78594,                0.84043,                0.59884,                  2.152,                  1.709,                 2.3227,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1325,                 1.3403,                 2.0777,                0.86062,                0.80944,                0.89072,                0.64145,                 2.1808,                 1.3553,                 2.2615,              0.0015248,              0.0015248,              0.0015248
                     14,                  2.099,                 1.3384,                 2.0931,                0.79213,                0.83895,                 0.8686,                0.63221,                 2.1062,                 1.4254,                 2.2447,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9319,                 1.2589,                 2.0166,                0.81317,                0.88764,                0.89662,                0.65471,                 2.1037,                  1.235,                 2.2248,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.904,                 1.2048,                 1.9836,                0.87001,                0.85393,                0.89172,                0.66414,                 2.0067,                 1.2662,                  2.195,               0.001406,               0.001406,               0.001406
