                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9183,                  5.551,                 2.3319,                0.00542,                0.19476,                0.07348,                0.04957,                 2.3508,                 6.6926,                 2.1058,                 0.0004,                 0.0004,                 0.0004
                      2,                 2.4482,                 3.7423,                 2.1511,                0.00625,                0.22472,                0.06935,                 0.0401,                 2.3088,                 6.6355,                 2.1172,             0.00080376,             0.00080376,             0.00080376
                      3,                 2.4448,                 3.3487,                   2.15,                0.40814,                0.08614,                0.12376,                0.08139,                 2.5422,                  5.982,                 2.2694,              0.0011909,              0.0011909,              0.0011909
                      4,                 2.5299,                  3.195,                 2.1831,                0.48816,                0.20225,                0.22279,                0.14708,                 2.4276,                 5.1302,                 2.2793,              0.0015614,              0.0015614,              0.0015614
                      5,                  2.471,                 2.8764,                 2.1108,                0.59716,                0.31647,                0.36471,                0.25391,                 2.3838,                 4.1947,                 2.1606,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.3652,                 2.7396,                  2.111,                0.49478,                0.32645,                0.38076,                0.27065,                 2.2913,                 3.8554,                 2.1484,               0.001802,               0.001802,               0.001802
                      7,                 2.2818,                 2.5319,                 2.0661,                0.61286,                0.62921,                0.63825,                0.43564,                 2.3487,                 2.7506,                 2.1187,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.2995,                 2.3592,                 2.0468,                0.58116,                0.61843,                0.64654,                0.43779,                 2.3718,                 2.5107,                 2.1288,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2497,                 2.1942,                 2.0307,                0.71358,                0.65169,                0.71935,                0.50219,                 2.1986,                 2.0523,                 2.1209,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.2468,                 2.1602,                 2.0481,                0.77056,                0.66292,                0.75509,                 0.5141,                 2.2661,                 1.9898,                  2.082,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2448,                 2.1217,                 2.0434,                0.68191,                0.73034,                0.76113,                0.52616,                 2.2066,                 2.1568,                 2.1086,               0.001604,               0.001604,               0.001604
                     12,                  2.197,                 2.0166,                 2.0296,                0.73074,                0.69288,                0.77757,                 0.5407,                 2.1079,                 1.8356,                 2.0408,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1515,                 1.9221,                 1.9659,                0.78168,                0.69731,                0.80034,                0.55618,                 2.1005,                 1.7224,                 2.0387,              0.0015248,              0.0015248,              0.0015248
                     14,                  2.034,                 1.8448,                 1.9501,                0.78637,                0.68933,                 0.7838,                0.54607,                 2.2097,                 1.7746,                 2.1237,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0637,                 1.7576,                  1.972,                0.81087,                0.70037,                0.82388,                0.59356,                 2.0417,                 1.6256,                 2.0464,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0516,                 1.7428,                 1.9677,                0.76036,                0.73034,                0.80592,                0.55636,                 2.2045,                 1.6552,                 2.0506,               0.001406,               0.001406,               0.001406
                     17,                 2.0414,                 1.7301,                 1.9652,                0.79274,                 0.7603,                0.82496,                0.57706,                 2.0796,                 1.6729,                 2.0411,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.0047,                 1.6707,                 1.9402,                0.78666,                0.71161,                0.81375,                0.59235,                 2.0296,                 1.6362,                 2.0309,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9831,                 1.6511,                 1.9474,                0.74589,                0.73034,                0.79045,                0.57113,                 2.0035,                 1.6828,                 2.0109,              0.0012872,              0.0012872,              0.0012872
