                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8105,                 5.7408,                 2.2322,                0.61021,                0.66292,                0.63669,                0.40326,                 2.3237,                 4.1323,                 2.1244,                 0.0004,                 0.0004,                 0.0004
                      2,                 2.3519,                 2.4153,                 2.0887,                0.76487,                0.59925,                0.66326,                0.41073,                 2.7391,                 2.8751,                 2.3706,             0.00080376,             0.00080376,             0.00080376
                      3,                  2.479,                 1.9154,                 2.1562,                0.46359,                0.51685,                0.40845,                0.23419,                 2.8134,                 3.6175,                 2.5253,              0.0011909,              0.0011909,              0.0011909
                      4,                 2.4801,                 1.8252,                 2.1579,                0.65807,                0.59107,                0.63936,                0.37887,                 3.0495,                 3.2973,                 2.5839,              0.0015614,              0.0015614,              0.0015614
                      5,                 2.4825,                 1.6987,                 2.1506,                0.63491,                0.55431,                 0.5476,                0.36319,                  2.564,                 8.0534,                 2.4316,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.4788,                 1.7307,                 2.1669,                0.72214,                0.57303,                0.64556,                0.41224,                 2.5625,                 3.6115,                 2.4327,               0.001802,               0.001802,               0.001802
                      7,                 2.2886,                 1.5439,                 2.1171,                0.78731,                0.55457,                0.71824,                0.46352,                 2.3425,                 3.8968,                 2.2946,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.2751,                 1.5279,                 2.0897,                0.78749,                0.69663,                  0.764,                0.51892,                 2.1942,                 3.4337,                 2.1729,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1642,                 1.4294,                  2.029,                0.80441,                0.80524,                0.85638,                0.58237,                 2.1915,                 2.0672,                 2.1791,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1868,                 1.5293,                   2.05,                0.83255,                 0.8015,                0.86622,                0.60592,                 2.2052,                 2.0104,                 2.2207,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0892,                 1.4079,                 2.0295,                0.80266,                 0.8226,                0.87815,                0.60532,                 2.1537,                   1.61,                 2.1795,               0.001604,               0.001604,               0.001604
                     12,                 2.1296,                 1.3864,                 2.0539,                 0.7473,                0.76424,                0.82695,                0.57242,                 2.2178,                 1.8664,                 2.1856,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1048,                 1.3502,                 1.9967,                0.82659,                0.77903,                 0.8816,                0.62427,                 2.1084,                  1.487,                 2.1179,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9982,                 1.2559,                 1.9805,                0.79035,                0.80482,                0.86875,                0.62926,                 2.0457,                 1.3356,                 2.1557,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0093,                 1.2532,                 1.9796,                0.75177,                 0.8167,                0.85204,                0.61318,                 2.0371,                 1.5629,                 2.0969,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0089,                 1.2783,                 1.9742,                0.80393,                0.85998,                0.89009,                0.65648,                 1.9679,                 1.3181,                 2.0943,               0.001406,               0.001406,               0.001406
                     17,                 1.9152,                 1.2255,                 1.9653,                0.84075,                0.85027,                0.89901,                0.66635,                 1.9645,                 1.2534,                 2.0838,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9178,                  1.208,                   1.95,                0.89738,                0.79401,                0.90503,                0.66549,                 1.9829,                 1.2577,                 2.0807,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8709,                  1.191,                 1.9342,                0.82187,                0.85768,                0.90875,                0.67377,                  1.933,                 1.2311,                 2.0399,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8699,                 1.1387,                 1.9237,                0.85293,                0.76779,                0.88198,                0.65008,                 1.9537,                 1.3081,                  2.094,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8519,                 1.1478,                 1.9332,                 0.8106,                 0.8816,                0.90034,                0.66264,                 1.9236,                  1.197,                 2.0679,               0.001208,               0.001208,               0.001208
                     22,                 1.8427,                 1.1557,                 1.9257,                0.84095,                0.83174,                0.89699,                0.66169,                 1.9641,                 1.2024,                   2.14,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7811,                 1.1128,                 1.8989,                0.82527,                0.84644,                0.90435,                0.67831,                 1.9148,                 1.1979,                 2.0646,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7986,                 1.1127,                 1.9149,                0.84098,                 0.8319,                0.90089,                0.67081,                 1.8585,                 1.1589,                 2.0685,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.7342,                  1.063,                 1.8796,                0.90716,                0.80515,                0.91221,                0.69608,                 1.8095,                 1.1307,                  2.034,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6754,                 1.0163,                 1.8717,                 0.8662,                0.87291,                0.91347,                0.69354,                 1.8241,                 1.1756,                 2.0367,                0.00101,                0.00101,                0.00101
                     27,                 1.6506,                 1.0068,                 1.8457,                0.88719,                0.85421,                0.92587,                0.71541,                 1.7107,                 1.0582,                 1.9732,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6571,                 1.0185,                 1.8571,                0.87536,                0.83895,                 0.9165,                0.70825,                 1.7635,                 1.0808,                 1.9999,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5674,                0.97122,                 1.8262,                0.84737,                0.85393,                0.91692,                0.71342,                 1.7148,                 1.0852,                 1.9939,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5692,                0.97565,                 1.8398,                0.85934,                0.84658,                0.91213,                0.70919,                 1.7354,                 1.1231,                 1.9798,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5503,                0.95408,                 1.8202,                 0.9119,                0.81407,                0.91587,                0.73035,                 1.6646,                 1.0832,                 1.9716,               0.000812,               0.000812,               0.000812
                     32,                 1.5243,                0.92895,                  1.829,                0.90113,                0.81922,                0.91985,                0.71929,                 1.7209,                 1.1164,                 1.9607,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5457,                0.94142,                  1.814,                0.85481,                 0.8427,                 0.9236,                0.73428,                 1.6768,                 1.0608,                 1.9594,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5131,                0.91846,                 1.8088,                0.88202,                0.86801,                0.91409,                0.70519,                 1.7453,                 1.1113,                 1.9498,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4854,                0.89947,                 1.8056,                0.85662,                0.85031,                0.91795,                0.72456,                 1.6636,                 1.1222,                 1.9409,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4738,                0.86608,                 1.7949,                0.88534,                0.83863,                0.90419,                0.71856,                  1.656,                  1.196,                 1.9514,               0.000614,               0.000614,               0.000614
                     37,                 1.4864,                0.87822,                 1.7889,                0.82686,                 0.8764,                0.90888,                0.72635,                 1.6587,                 1.1185,                 1.9572,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4386,                0.85045,                 1.7956,                 0.8542,                0.85574,                0.91427,                0.72404,                 1.6757,                 1.0708,                 1.9573,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4272,                0.87189,                 1.8176,                0.86766,                0.85948,                0.90655,                 0.7152,                 1.6656,                 1.1865,                 1.9638,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4334,                0.83991,                 1.7935,                0.84617,                0.86531,                0.90734,                0.71698,                 1.6445,                 1.0925,                 1.9687,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.191,                0.73898,                 1.7265,                 0.8757,                0.84438,                0.90056,                0.72576,                 1.5973,                 1.2002,                 1.9501,               0.000416,               0.000416,               0.000416
                     42,                 1.1744,                0.71843,                 1.7099,                 0.8708,                 0.8839,                0.92649,                0.74222,                 1.6115,                 1.0341,                 1.9421,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1592,                0.71502,                 1.7138,                0.88637,                0.85393,                0.92144,                0.74624,                 1.6023,                 1.0192,                 1.9304,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.117,                0.67245,                 1.6905,                0.86332,                0.88015,                0.91666,                0.74351,                 1.5687,                 1.0743,                 1.9402,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1224,                0.66872,                 1.6993,                0.84865,                 0.8764,                0.91364,                0.74116,                 1.5686,                 1.0775,                 1.9413,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.084,                  0.667,                 1.6987,                0.86885,                0.85019,                0.92235,                 0.7496,                 1.5475,                 1.0609,                 1.9261,               0.000218,               0.000218,               0.000218
                     47,                 1.0549,                0.64684,                 1.6921,                0.86993,                0.85166,                0.92266,                0.75171,                 1.5117,                 1.0335,                 1.9258,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0329,                0.62388,                 1.6796,                0.88751,                0.84644,                0.92222,                0.75249,                   1.51,                 1.0623,                 1.9174,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0303,                0.63499,                 1.6858,                0.89456,                0.85019,                0.92185,                0.74842,                 1.5217,                 1.0574,                 1.9215,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0296,                0.63066,                 1.6755,                0.88932,                0.87276,                0.92535,                 0.7579,                 1.5061,                 1.0344,                 1.9172,               5.96e-05,               5.96e-05,               5.96e-05
