                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4948,                 2.9565,                 2.3347,                0.10359,                0.48689,                0.09236,                0.05847,                 2.9029,                 34.212,                 2.9223,             0.00065863,             0.00065863,             0.00065863
                      2,                 2.8381,                 2.5078,                 2.5533,                0.17671,                0.13747,                0.06799,                0.03755,                 2.9043,                 21.293,                 3.0376,              0.0012991,              0.0012991,              0.0012991
                      3,                 3.0828,                 2.3786,                 2.5808,                0.70295,                0.59176,                0.66419,                0.38454,                 3.2668,                 4.6935,                  3.337,              0.0019131,              0.0019131,              0.0019131
                      4,                 2.8094,                 2.2457,                 2.5347,                0.75842,                0.77604,                0.80623,                0.48805,                 2.9015,                 2.8177,                 2.6602,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7061,                 2.0037,                 2.3753,                0.81361,                0.75202,                0.79537,                 0.4749,                  3.002,                 2.3729,                  2.856,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.5681,                 1.8289,                 2.3178,                0.77581,                0.75281,                0.80763,                0.52472,                  2.781,                 2.0745,                 2.6274,               0.001802,               0.001802,               0.001802
                      7,                 2.4445,                 1.7564,                 2.3046,                0.85978,                0.77154,                0.85709,                 0.6035,                 2.3308,                  1.676,                 2.3716,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.3098,                  1.532,                 2.1795,                0.88749,                0.76815,                0.86911,                0.58997,                 2.3494,                 1.6077,                  2.394,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2292,                 1.5053,                 2.2107,                0.82185,                0.77754,                0.84686,                0.58031,                 2.4607,                 1.6544,                 2.4669,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.2436,                 1.5942,                 2.1932,                0.78985,                0.78829,                0.84786,                0.59274,                  2.374,                 1.6813,                 2.4099,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.1686,                 1.4247,                 2.1546,                0.83321,                0.80524,                0.85617,                0.60905,                 2.2681,                 1.6211,                 2.2899,               0.001604,               0.001604,               0.001604
                     12,                 2.1724,                 1.4132,                 2.1379,                0.80412,                0.82397,                0.85673,                 0.5985,                  2.298,                 1.5677,                  2.353,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1843,                 1.3486,                 2.1025,                0.82884,                0.83895,                0.87751,                0.64161,                 2.2433,                 1.5839,                 2.3652,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.1065,                 1.3484,                 2.1188,                0.89674,                0.83146,                0.89765,                0.66096,                 2.1471,                 1.4041,                 2.2893,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0573,                 1.2431,                 2.0597,                0.89362,                0.81805,                0.89272,                0.66229,                 2.1344,                 1.3961,                 2.3202,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.0086,                 1.2575,                 2.0656,                0.85932,                0.78652,                0.88048,                0.65142,                 2.1402,                 1.5352,                 2.2799,               0.001406,               0.001406,               0.001406
                     17,                   1.93,                  1.219,                  2.055,                0.82759,                0.88091,                0.89781,                0.68561,                 1.9514,                 1.2872,                 2.1896,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.8397,                 1.1424,                 2.0048,                 0.8756,                0.81724,                0.88804,                0.65899,                 2.0888,                 1.4194,                 2.2797,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9204,                 1.2154,                 2.0244,                0.84991,                0.83895,                0.90094,                0.67146,                 2.1179,                 1.3547,                  2.294,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.8165,                 1.1119,                 1.9733,                0.82128,                0.84336,                0.88807,                0.66957,                 2.0054,                 1.3476,                 2.2502,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.8214,                  1.115,                 1.9984,                0.84429,                0.85291,                0.89399,                0.67676,                 1.9561,                 1.4058,                 2.1745,               0.001208,               0.001208,               0.001208
                     22,                 1.7744,                 1.1076,                 1.9769,                0.82264,                0.88764,                0.89631,                 0.6645,                 2.0852,                 1.3372,                 2.2386,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.7231,                 1.0622,                 1.9585,                 0.8911,                0.83521,                0.91167,                0.69039,                 1.9073,                 1.2948,                  2.184,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.7405,                 1.0876,                 1.9689,                 0.8601,                0.83895,                0.89691,                 0.6873,                  1.938,                 1.3316,                 2.2288,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6781,                 1.0324,                 1.9382,                0.87752,                0.85866,                0.92357,                0.71547,                 1.8725,                 1.1745,                 2.1972,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6514,                 1.0152,                 1.9321,                0.87637,                0.88015,                0.91457,                0.70131,                 1.9207,                 1.3208,                 2.2209,                0.00101,                0.00101,                0.00101
                     27,                 1.6221,                0.99591,                  1.913,                0.88782,                0.85958,                0.91667,                0.72168,                 1.9217,                  1.268,                 2.2313,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6133,                 1.0117,                 1.9287,                0.88654,                0.85768,                0.91842,                0.72098,                 1.8419,                 1.2411,                 2.2047,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5744,                0.94535,                 1.8985,                0.84508,                0.89888,                0.92208,                0.71688,                 1.8766,                 1.1533,                 2.2268,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5613,                0.93155,                 1.9062,                0.86943,                0.84795,                0.91085,                0.72742,                 1.8169,                 1.2247,                 2.1848,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5164,                0.90757,                 1.8834,                0.89187,                 0.8764,                0.91772,                0.73374,                 1.7845,                 1.2203,                 2.1831,               0.000812,               0.000812,               0.000812
                     32,                 1.4687,                0.86638,                 1.8679,                0.83645,                0.88015,                0.90691,                0.72457,                 1.8557,                 1.2272,                 2.2366,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4662,                0.85688,                 1.8564,                 0.8735,                0.85346,                0.91117,                0.71968,                 1.8308,                 1.1864,                  2.182,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4219,                0.84224,                 1.8649,                0.84896,                0.86313,                0.90529,                0.71398,                  1.831,                 1.3162,                  2.162,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4218,                0.81739,                 1.8506,                0.86925,                0.88015,                0.91582,                0.73338,                 1.7515,                 1.1923,                 2.1019,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4091,                0.85644,                 1.8104,                0.84795,                0.91904,                0.91553,                0.73863,                 1.7765,                 1.2045,                 2.1301,               0.000614,               0.000614,               0.000614
                     37,                 1.4197,                0.80907,                  1.844,                0.87981,                0.87729,                0.91792,                0.73575,                 1.8135,                 1.1367,                 2.1445,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3837,                0.80372,                  1.821,                0.85883,                0.89139,                0.92343,                0.74709,                 1.7594,                 1.1896,                 2.1315,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3119,                 0.7635,                 1.8113,                0.86369,                0.91011,                0.92793,                0.75777,                 1.7324,                 1.1361,                 2.1275,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3492,                0.77684,                 1.8077,                0.84885,                0.90447,                0.92596,                0.75584,                  1.761,                 1.1243,                  2.118,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1056,                   0.65,                 1.7144,                0.86113,                0.90575,                0.92615,                 0.7599,                 1.6947,                 1.1939,                 2.0857,               0.000416,               0.000416,               0.000416
                     42,                 1.0577,                0.62567,                 1.6991,                  0.884,                 0.8839,                0.92508,                0.76292,                 1.6763,                 1.1567,                 2.1045,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0487,                0.61121,                 1.7042,                 0.8644,                0.90722,                0.92484,                0.75878,                 1.7044,                 1.1484,                 2.1307,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0437,                 0.6155,                  1.702,                 0.8987,                0.88764,                0.92637,                0.75974,                 1.7307,                  1.134,                 2.1523,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0136,                0.59246,                 1.6936,                0.87933,                0.87335,                0.92675,                0.76472,                  1.744,                   1.17,                 2.1429,              0.0002576,              0.0002576,              0.0002576
                     46,                0.97418,                0.57311,                 1.6858,                0.86811,                0.89888,                0.92443,                0.76445,                 1.7051,                 1.1807,                 2.1165,               0.000218,               0.000218,               0.000218
                     47,                0.97648,                0.55904,                  1.686,                0.88596,                0.87289,                 0.9227,                0.77046,                 1.6639,                 1.1538,                 2.1205,              0.0001784,              0.0001784,              0.0001784
                     48,                0.95391,                0.56624,                 1.6796,                0.90901,                0.86061,                0.91756,                0.76313,                 1.6663,                  1.157,                 2.1415,              0.0001388,              0.0001388,              0.0001388
                     49,                0.92716,                 0.5357,                  1.673,                0.91242,                0.86517,                0.92011,                0.76175,                  1.668,                 1.2081,                 2.1234,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.94043,                0.54732,                 1.6657,                0.90678,                0.86517,                0.92161,                0.76704,                  1.651,                 1.2074,                 2.1189,               5.96e-05,               5.96e-05,               5.96e-05
